SubjectCode,Condition,IAF_Pre,IAF_Post,Hit,RT,Condition_seq,sham_seq,phase
1,A,8.30078125,7.8125,0,0,S2,0,-2.63778453905133
1,A,8.30078125,7.8125,0,0,S2,0,-0.118284847427382
1,A,8.30078125,7.8125,0,0,S2,0,0.957502041732377
1,A,8.30078125,7.8125,0,0,S2,0,3.09877572742076
1,A,8.30078125,7.8125,0,0,S2,0,-2.42671950756908
1,A,8.30078125,7.8125,0,0,S2,0,1.53772539576032
1,A,8.30078125,7.8125,0,0,S2,0,2.61130721974747
1,A,8.30078125,7.8125,0,0,S2,0,0.231933484812322
1,A,8.30078125,7.8125,0,0,S2,0,-2.526390420114
1,A,8.30078125,7.8125,0,0,S2,0,2.63534294053657
1,A,8.30078125,7.8125,0,0,S2,0,2.45272702080548
1,A,8.30078125,7.8125,0,0,S2,0,1.14104297287808
1,A,8.30078125,7.8125,0,0,S2,0,-0.422219463907406
1,A,8.30078125,7.8125,0,0,S2,0,-0.289195344624295
1,A,8.30078125,7.8125,1,710,S2,0,2.85769502933309
1,A,8.30078125,7.8125,0,0,S2,0,0.791007789668699
1,A,8.30078125,7.8125,0,0,S2,0,-2.78390313237349
1,A,8.30078125,7.8125,0,0,S2,0,1.43161934096416
1,A,8.30078125,7.8125,0,0,S2,0,-2.96038913150354
1,A,8.30078125,7.8125,0,0,S2,0,-1.5721636210414
1,A,8.30078125,7.8125,0,0,S2,0,0.130474664308914
1,A,8.30078125,7.8125,0,0,S2,0,0.575713892673399
1,A,8.30078125,7.8125,0,0,S2,0,1.96299520444673
1,A,8.30078125,7.8125,0,0,S2,0,-2.61801193959387
1,A,8.30078125,7.8125,0,0,S2,0,-0.0985498244438539
1,A,8.30078125,7.8125,1,553,S2,0,-1.03246998599846
1,A,8.30078125,7.8125,0,0,S2,0,2.74326077235656
1,A,8.30078125,7.8125,0,0,S2,0,2.50173154527445
1,A,8.30078125,7.8125,0,0,S2,0,-0.446620418696467
1,A,8.30078125,7.8125,0,0,S2,0,2.51718376161393
1,A,8.30078125,7.8125,0,0,S2,0,-0.743131274455405
1,A,8.30078125,7.8125,0,0,S2,0,-0.550710551170497
1,A,8.30078125,7.8125,0,0,S2,0,2.15905601706778
1,A,8.30078125,7.8125,0,0,S2,0,0.90625713564603
1,A,8.30078125,7.8125,0,0,S2,0,-1.34840867457788
1,A,8.30078125,7.8125,0,0,S2,0,1.11364569795079
1,A,8.30078125,7.8125,0,0,S2,0,2.25108105989949
1,A,8.30078125,7.8125,1,695,S2,0,0.499261375495344
1,A,8.30078125,7.8125,0,0,S2,0,1.51249166243259
1,A,8.30078125,7.8125,0,0,S2,0,0.701746673692414
1,A,8.30078125,7.8125,0,0,S2,0,2.90911873432451
1,A,8.30078125,7.8125,1,854,S2,0,2.09838075499658
1,A,8.30078125,7.8125,0,0,S2,0,0.975650407753978
1,A,8.30078125,7.8125,1,650,S2,0,-3.10310324250301
1,A,8.30078125,7.8125,0,0,S2,0,1.55320207890482
1,A,8.30078125,7.8125,0,0,S2,0,-2.27327790294216
1,A,8.30078125,7.8125,0,0,S2,0,1.06227045207819
1,A,8.30078125,7.8125,0,0,S2,0,0.189424104027432
1,A,8.30078125,7.8125,1,503,S2,0,0.194081656349027
1,A,8.30078125,7.8125,0,0,S2,0,1.70659222117476
1,A,8.30078125,7.8125,0,0,S2,0,2.27679395371565
1,A,8.30078125,7.8125,0,0,S2,0,-1.55050237933622
1,A,8.30078125,7.8125,0,0,S2,0,1.78782559968027
1,A,8.30078125,7.8125,0,0,S2,0,-0.718753016984183
1,A,8.30078125,7.8125,0,0,S2,0,-0.458358049861787
1,A,8.30078125,7.8125,0,0,S2,0,-2.08335063761861
1,A,8.30078125,7.8125,1,721,S2,0,-0.632396806142149
1,A,8.30078125,7.8125,0,0,S2,0,2.702645398416
1,A,8.30078125,7.8125,0,0,S2,0,-0.746539847990833
1,A,8.30078125,7.8125,0,0,S2,0,-0.551919284926081
1,A,8.30078125,7.8125,0,0,S2,0,-1.67375948907734
1,A,8.30078125,7.8125,0,0,S2,0,-3.11318971528333
1,A,8.30078125,7.8125,0,0,S2,0,-1.97243647014803
1,A,8.30078125,7.8125,0,0,S2,0,-1.83967087066796
1,A,8.30078125,7.8125,0,0,S2,0,1.62353965752314
1,A,8.30078125,7.8125,0,0,S2,0,0.875044257155708
1,A,8.30078125,7.8125,0,0,S2,0,2.45132441923733
1,A,8.30078125,7.8125,0,0,S2,0,-3.13424866182479
1,A,8.30078125,7.8125,0,0,S2,0,-0.551854583813244
1,A,8.30078125,7.8125,0,0,S2,0,-0.170248328973624
1,A,8.30078125,7.8125,0,0,S2,0,-0.100582233967262
1,A,8.30078125,7.8125,0,0,S2,0,-2.73333905033809
1,A,8.30078125,7.8125,0,0,S2,0,-1.28126162658744
1,A,8.30078125,7.8125,0,0,S2,0,2.81205882648782
1,A,8.30078125,7.8125,0,0,S2,0,-2.52435490662241
1,A,8.30078125,7.8125,0,0,S2,0,2.63391705376719
1,A,8.30078125,7.8125,0,0,S2,0,-0.442724824185053
1,A,8.30078125,7.8125,0,0,S2,0,-2.26465305646319
1,A,8.30078125,7.8125,0,0,S2,0,-2.51496732937357
1,A,8.30078125,7.8125,0,0,S2,0,-0.998318840632247
1,A,8.30078125,7.8125,0,0,S2,0,2.7139528176204
1,A,8.30078125,7.8125,0,0,S2,0,-2.68148190065179
1,A,8.30078125,7.8125,0,0,S2,0,2.03771886008206
1,A,8.30078125,7.8125,0,0,S2,0,-0.784193069267816
1,A,8.30078125,7.8125,1,1016,S2,0,-0.964674185849225
1,A,8.30078125,7.8125,1,690,S2,0,-0.329260872054414
1,A,8.30078125,7.8125,0,0,S2,0,-1.95661256184963
1,A,8.30078125,7.8125,1,525,S2,0,-0.500924660754843
1,A,8.30078125,7.8125,0,0,S2,0,-2.62951766371114
1,A,8.30078125,7.8125,1,902,S2,0,0.769897294126237
1,A,8.30078125,7.8125,1,788,S2,0,1.9079703791454
1,A,8.30078125,7.8125,0,0,S2,0,0.972286964174056
1,A,8.30078125,7.8125,0,0,S2,0,-2.47653720439733
1,A,8.30078125,7.8125,1,614,S2,0,0.483997551494457
1,A,8.30078125,7.8125,1,531,S2,0,-2.58903940814286
1,A,8.30078125,7.8125,1,424,S2,0,0.0553826949811934
1,A,8.30078125,7.8125,1,443,S2,0,-1.25683257844016
1,A,8.30078125,7.8125,1,489,S2,0,0.701520736627947
1,A,8.30078125,7.8125,0,0,S2,0,2.52980449782165
1,A,8.30078125,7.8125,1,459,S2,0,-2.05173850732901
1,A,8.30078125,7.8125,0,0,S2,0,2.41559511846537
1,A,8.30078125,7.8125,1,610,S2,0,-2.54222432728883
1,A,8.30078125,7.8125,0,0,S2,0,-1.53077446163139
1,A,8.30078125,7.8125,1,406,S2,0,2.49792939081025
1,A,8.30078125,7.8125,1,492,S2,0,-1.20270596455016
1,A,8.30078125,7.8125,0,0,S2,0,2.3844522932993
